Date time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,snowfall,surface_pressure,cloud_cover,wind_speed_100m,wind_direction_100m
2025-02-10,19.041664883806394,64.55202431821917,11.452274064288588,-0.0965069144945473,-0.0965069144945473,0.0,1013.0515738057854,18.19964459845061,9.643691033828567,187.357086014855
2025-02-11,19.256004347862955,64.76284420292863,11.761655881454235,-0.1392385995329985,-0.1392385995329985,0.0,1013.057402099601,18.339634919027223,8.190073138888373,187.08240394126932
2025-02-12,18.961340329035785,65.78303708418615,11.63092169381025,-0.13608372813919895,-0.13608372813919895,0.0,1013.0384920745861,19.494009452499487,7.888600799979873,179.81667291143972
2025-02-13,18.741468404788566,66.29533310180727,11.569126589830008,-0.014911984907139991,-0.014911984907139991,0.0,1012.9315118894175,19.02973759122706,8.79048549777062,182.44060070112437
2025-02-14,18.737574515442546,64.61742673204789,11.17690237112837,-0.07477107291931011,-0.07477107291931011,0.0,1012.9289867494804,10.837597819853926,8.721147636801417,184.97574753479577
2025-02-15,18.604612288193383,64.60848966844013,11.071696602287583,-0.15292830966385415,-0.15292830966385415,0.0,1013.0575630265191,14.94912852617539,8.865305319961873,179.27001248956105
2025-02-16,18.55324041395523,64.64576628110864,11.027293483437056,-0.08543735117386586,-0.08543735117386586,0.0,1013.0518865549876,13.02093823139727,8.62861216813559,183.8170975247874
2025-02-17,18.63381206447936,63.567152006905864,10.810107208869631,-0.12150985068451976,-0.12150985068451976,0.0,1013.0829742103244,15.593317177723748,9.334584163025243,187.44347437699307
2025-02-18,18.84815152853582,63.77797189161639,11.119489026035406,-0.1642415357229255,-0.1642415357229255,0.0,1013.0888025041398,15.733307498293595,7.880966268083393,187.16879230340462
2025-02-19,18.553487509708106,64.79816477287494,10.9887548383911,-0.16108666432909519,-0.16108666432909519,0.0,1013.0698924791251,16.887682031786564,7.579493929179213,179.903061273566
2025-02-20,18.33361558546089,65.31046079049372,10.926959734410229,-0.039914921097181755,-0.039914921097181755,0.0,1012.9629122939566,16.42341017051187,8.481378626971146,182.5269890632503
2025-02-21,18.329721696115428,63.63255442073976,10.534735515710652,-0.09977400910871187,-0.09977400910871187,0.0,1012.9603871540189,8.231270399132667,8.41204076599778,185.06213589694892
2025-02-22,18.196759468865768,63.62361735712634,10.429529746867711,-0.1779312458539346,-0.1779312458539346,0.0,1013.0889634310582,12.34280110544986,8.556198449159963,179.3564008516871
2025-02-23,18.14538759462803,63.66089396979636,10.385126628018224,-0.11044028736371372,-0.11044028736371372,0.0,1013.0832869595265,10.414610810676136,8.319505297333471,183.90348588692757
2025-02-24,18.225959245152296,62.582279695593925,10.167940353451064,-0.14651278687445274,-0.14651278687445274,0.0,1013.1143746148636,12.986989757010281,9.025477292223172,187.52986273912802
2025-02-25,18.440298709208513,62.79309958030505,10.477322170616665,-0.1892444719128772,-0.1892444719128772,0.0,1013.1202029086788,13.126980077575165,7.57185939728034,187.25518066553295
2025-02-26,18.14563469038043,63.81329246156375,10.346587982971963,-0.18608960051899107,-0.18608960051899107,0.0,1013.1012928836641,14.28135461107364,7.270387058378559,179.9894496356923
2025-02-27,17.925762766134007,64.32558847918459,10.284792878992464,-0.0649178572871265,-0.0649178572871265,0.0,1012.9943126984956,13.817082749795864,8.172271756163935,182.61337742537845
2025-02-28,17.921868876788263,62.64768210942696,9.892568660291785,-0.12477694529866822,-0.12477694529866822,0.0,1012.9917875585579,5.624942978406035,8.102933895194564,185.1485242590843
2025-03-01,17.78890664953858,62.63874504581545,9.787362891449337,-0.20293418204374838,-0.20293418204374838,0.0,1013.1203638355971,9.736473684729752,8.247091578356741,179.44278921382448
